------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is </mnt/d/rand_python.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
486 505 457 479 516 491 564 496 506 500  0.122610   4962/5000    Frequency
452 494 504 466 504 564 476 512 535 493  0.023259   4961/5000    BlockFrequency
483 496 473 505 499 499 532 534 488 491  0.644199   4953/5000    CumulativeSums
464 498 515 484 528 477 546 488 530 470  0.111783   4964/5000    CumulativeSums
497 495 519 487 467 535 519 471 497 513  0.483094   4951/5000    Runs
520 490 482 508 485 506 514 478 509 508  0.914802   4946/5000    LongestRun
431 617 480 423 568 476 551 463 526 465  0.000000 * 4954/5000    Rank
571 486 520 475 484 458 522 524 429 531  0.000335   4933/5000    FFT
510 473 542 509 457 514 499 471 527 498  0.182152   4949/5000    NonOverlappingTemplate
493 507 495 489 491 493 541 517 489 485  0.800005   4957/5000    NonOverlappingTemplate
487 488 498 517 484 507 527 497 495 500  0.948887   4955/5000    NonOverlappingTemplate
468 460 506 529 500 474 506 535 484 538  0.112841   4942/5000    NonOverlappingTemplate
503 500 509 512 485 478 486 503 513 511  0.969009   4946/5000    NonOverlappingTemplate
522 459 501 494 522 479 550 523 491 459  0.070386   4951/5000    NonOverlappingTemplate
483 526 525 459 492 504 517 455 497 542  0.094399   4943/5000    NonOverlappingTemplate
449 532 496 513 505 487 514 519 476 509  0.316354   4943/5000    NonOverlappingTemplate
518 486 515 472 510 459 487 549 482 522  0.146318   4944/5000    NonOverlappingTemplate
464 476 493 516 550 476 453 546 503 523  0.016533   4943/5000    NonOverlappingTemplate
505 547 491 475 473 488 531 521 474 495  0.222947   4954/5000    NonOverlappingTemplate
493 508 502 483 521 482 498 471 543 499  0.561363   4935/5000    NonOverlappingTemplate
516 488 495 453 521 526 527 529 491 454  0.089952   4939/5000    NonOverlappingTemplate
523 451 479 483 502 536 538 508 508 472  0.101553   4940/5000    NonOverlappingTemplate
496 469 509 479 454 530 519 547 519 478  0.069863   4945/5000    NonOverlappingTemplate
529 483 490 473 468 502 498 502 544 511  0.342132   4951/5000    NonOverlappingTemplate
480 498 463 499 512 490 506 517 553 482  0.279013   4947/5000    NonOverlappingTemplate
510 479 489 526 500 515 471 472 505 533  0.474601   4945/5000    NonOverlappingTemplate
474 492 486 483 500 523 517 515 506 504  0.864494   4956/5000    NonOverlappingTemplate
464 500 509 513 498 510 500 500 510 496  0.939436   4953/5000    NonOverlappingTemplate
478 466 492 481 518 517 516 486 524 522  0.496351   4948/5000    NonOverlappingTemplate
499 476 507 526 458 509 501 483 538 503  0.368587   4953/5000    NonOverlappingTemplate
472 484 503 496 516 504 512 504 495 514  0.944480   4947/5000    NonOverlappingTemplate
507 499 525 499 531 469 493 497 492 488  0.766802   4953/5000    NonOverlappingTemplate
534 462 531 479 523 489 478 527 495 482  0.190242   4955/5000    NonOverlappingTemplate
497 502 505 506 478 488 479 529 504 512  0.891455   4957/5000    NonOverlappingTemplate
513 503 482 454 517 496 488 533 508 506  0.483482   4943/5000    NonOverlappingTemplate
496 498 475 498 497 514 494 548 496 484  0.644199   4940/5000    NonOverlappingTemplate
506 527 530 495 445 497 485 484 508 523  0.237055   4947/5000    NonOverlappingTemplate
490 502 483 455 515 513 479 527 524 512  0.400847   4953/5000    NonOverlappingTemplate
519 509 491 538 451 487 495 479 503 528  0.237299   4963/5000    NonOverlappingTemplate
519 495 512 490 494 539 465 489 515 482  0.517707   4951/5000    NonOverlappingTemplate
490 501 523 510 535 493 495 498 471 484  0.713641   4952/5000    NonOverlappingTemplate
480 473 472 511 490 520 509 516 505 524  0.642950   4938/5000    NonOverlappingTemplate
487 488 514 523 519 476 555 496 455 487  0.108150   4944/5000    NonOverlappingTemplate
479 467 487 470 498 508 532 504 544 511  0.241244   4959/5000    NonOverlappingTemplate
480 492 509 547 470 489 499 483 498 533  0.325514   4953/5000    NonOverlappingTemplate
504 487 473 501 521 540 494 503 454 523  0.256224   4947/5000    NonOverlappingTemplate
575 492 496 497 455 514 473 490 486 522  0.026162   4936/5000    NonOverlappingTemplate
507 455 507 464 556 490 522 503 463 533  0.023449   4935/5000    NonOverlappingTemplate
496 468 509 514 500 507 503 492 536 475  0.666245   4937/5000    NonOverlappingTemplate
515 487 488 541 501 450 494 507 497 520  0.316959   4942/5000    NonOverlappingTemplate
437 500 489 515 503 532 495 491 525 513  0.186769   4968/5000    NonOverlappingTemplate
484 504 489 520 482 498 513 510 503 497  0.971145   4946/5000    NonOverlappingTemplate
486 484 508 504 497 482 487 547 487 518  0.588101   4947/5000    NonOverlappingTemplate
522 518 517 487 500 458 498 500 505 495  0.722994   4943/5000    NonOverlappingTemplate
487 467 496 497 508 484 548 484 537 492  0.262778   4949/5000    NonOverlappingTemplate
537 509 511 469 460 509 458 517 497 533  0.098683   4934/5000    NonOverlappingTemplate
515 482 492 490 504 480 510 531 478 518  0.740319   4946/5000    NonOverlappingTemplate
505 509 510 535 492 514 470 487 461 517  0.424453   4951/5000    NonOverlappingTemplate
484 492 499 548 533 506 472 503 476 487  0.305894   4950/5000    NonOverlappingTemplate
510 482 514 422 517 505 501 512 488 549  0.021879   4944/5000    NonOverlappingTemplate
462 507 489 509 516 507 484 496 492 538  0.579021   4943/5000    NonOverlappingTemplate
519 477 523 480 490 488 556 505 478 484  0.217399   4937/5000    NonOverlappingTemplate
465 508 481 502 499 520 545 486 472 522  0.269725   4942/5000    NonOverlappingTemplate
493 504 498 488 500 532 507 482 493 503  0.949472   4946/5000    NonOverlappingTemplate
509 497 508 485 473 485 546 514 510 473  0.442088   4951/5000    NonOverlappingTemplate
483 505 502 523 484 489 519 456 533 506  0.410768   4944/5000    NonOverlappingTemplate
465 483 550 502 511 521 469 516 474 509  0.157780   4957/5000    NonOverlappingTemplate
515 461 497 470 517 498 529 480 520 513  0.391067   4947/5000    NonOverlappingTemplate
476 481 499 477 523 517 506 504 522 495  0.770304   4952/5000    NonOverlappingTemplate
484 477 453 485 506 508 544 508 525 510  0.208394   4939/5000    NonOverlappingTemplate
472 529 517 507 546 499 487 483 462 498  0.214892   4948/5000    NonOverlappingTemplate
520 498 499 484 495 496 501 483 498 526  0.949083   4928/5000    NonOverlappingTemplate
494 478 474 488 493 506 514 524 511 518  0.808882   4950/5000    NonOverlappingTemplate
509 497 452 558 506 504 486 525 485 478  0.100109   4947/5000    NonOverlappingTemplate
510 490 478 500 513 505 493 516 487 508  0.970585   4945/5000    NonOverlappingTemplate
491 508 481 519 518 487 503 481 480 532  0.708740   4951/5000    NonOverlappingTemplate
501 477 544 513 444 513 529 486 506 487  0.109953   4947/5000    NonOverlappingTemplate
479 475 496 506 498 478 498 557 499 514  0.341495   4935/5000    NonOverlappingTemplate
486 505 471 478 496 546 507 488 509 514  0.504614   4945/5000    NonOverlappingTemplate
485 492 479 522 492 502 463 526 490 549  0.233404   4929/5000    NonOverlappingTemplate
512 509 491 509 505 481 487 473 506 527  0.845320   4950/5000    NonOverlappingTemplate
486 535 473 525 464 509 495 496 495 522  0.400847   4946/5000    NonOverlappingTemplate
510 472 545 508 458 510 503 467 526 501  0.152730   4949/5000    NonOverlappingTemplate
485 559 522 468 508 477 466 541 506 468  0.021939   4942/5000    NonOverlappingTemplate
472 519 499 495 519 498 495 518 512 473  0.787210   4952/5000    NonOverlappingTemplate
477 525 483 504 483 530 492 487 489 530  0.554013   4946/5000    NonOverlappingTemplate
484 485 488 526 451 498 512 546 509 501  0.207951   4953/5000    NonOverlappingTemplate
505 496 530 508 509 486 473 485 508 500  0.867692   4945/5000    NonOverlappingTemplate
501 487 487 515 490 481 507 520 516 496  0.941567   4952/5000    NonOverlappingTemplate
490 446 497 525 527 512 488 508 513 494  0.360947   4941/5000    NonOverlappingTemplate
496 489 477 482 528 471 492 539 476 550  0.104000   4950/5000    NonOverlappingTemplate
497 503 439 522 476 514 514 505 525 505  0.228843   4946/5000    NonOverlappingTemplate
522 482 496 493 528 518 503 522 468 468  0.433223   4946/5000    NonOverlappingTemplate
512 459 511 494 518 481 483 526 522 494  0.503824   4941/5000    NonOverlappingTemplate
521 510 469 498 525 494 485 481 542 475  0.327987   4936/5000    NonOverlappingTemplate
469 484 490 509 505 544 461 521 505 512  0.277082   4941/5000    NonOverlappingTemplate
477 488 481 473 522 550 498 499 512 500  0.367585   4945/5000    NonOverlappingTemplate
507 512 488 489 497 519 520 507 458 503  0.729870   4923/5000 *  NonOverlappingTemplate
485 482 483 510 514 512 471 521 511 511  0.778804   4953/5000    NonOverlappingTemplate
510 523 466 499 507 489 498 490 506 512  0.877083   4942/5000    NonOverlappingTemplate
488 540 499 493 509 493 514 515 455 494  0.454806   4946/5000    NonOverlappingTemplate
476 506 471 485 538 509 503 484 519 509  0.552383   4941/5000    NonOverlappingTemplate
507 433 494 508 516 520 516 505 501 500  0.265434   4939/5000    NonOverlappingTemplate
484 487 483 507 489 507 512 541 485 505  0.738316   4953/5000    NonOverlappingTemplate
469 467 520 468 530 533 506 514 520 473  0.135409   4940/5000    NonOverlappingTemplate
500 503 487 506 509 467 518 482 501 527  0.786450   4951/5000    NonOverlappingTemplate
496 497 477 513 499 490 500 540 477 511  0.725019   4952/5000    NonOverlappingTemplate
512 526 533 496 467 485 486 526 499 470  0.348546   4951/5000    NonOverlappingTemplate
495 435 493 493 535 523 490 525 481 530  0.063296   4941/5000    NonOverlappingTemplate
482 472 492 490 538 510 496 514 479 527  0.494783   4952/5000    NonOverlappingTemplate
526 470 478 503 505 528 509 499 491 491  0.715271   4947/5000    NonOverlappingTemplate
491 486 478 520 506 481 515 511 504 508  0.913506   4950/5000    NonOverlappingTemplate
494 490 476 449 516 498 504 521 526 526  0.292233   4940/5000    NonOverlappingTemplate
519 496 531 527 516 463 516 527 431 474  0.016556   4935/5000    NonOverlappingTemplate
495 519 450 496 532 507 498 519 482 502  0.406854   4939/5000    NonOverlappingTemplate
542 512 496 536 476 523 493 497 432 493  0.033896   4944/5000    NonOverlappingTemplate
479 502 479 501 480 542 501 491 498 527  0.561363   4951/5000    NonOverlappingTemplate
515 485 479 489 464 542 513 475 506 532  0.221782   4935/5000    NonOverlappingTemplate
516 514 510 494 492 472 524 495 491 492  0.885865   4949/5000    NonOverlappingTemplate
492 506 512 510 476 512 515 520 503 454  0.572025   4938/5000    NonOverlappingTemplate
473 491 505 466 513 531 479 520 526 496  0.409343   4951/5000    NonOverlappingTemplate
508 453 467 502 517 547 518 493 503 492  0.180568   4943/5000    NonOverlappingTemplate
530 480 486 472 527 470 535 499 493 508  0.311842   4952/5000    NonOverlappingTemplate
512 551 479 514 497 464 506 507 510 460  0.165157   4933/5000    NonOverlappingTemplate
513 476 508 513 531 485 491 511 488 484  0.785689   4945/5000    NonOverlappingTemplate
